characters,pinyin,meaning
天安门,tiānānmén,"Tiananmen Square, Gate of Heavenly Peace, Tiananmen Square (in Beijing), the Gate of Heavenly Peace, Tian An Men"
不许,bùxǔ,can't
荣耀,róngyào,"honor, glory"
稽查,jīchá,check (to prevent smuggling/etc.)
误会,wùhuì,misunderstanding
远方,yuǎnfāng,"distance, beyond, beyondness, distant place, corner"
汉子,hànzi5,"man, johnny, fellow, joker, husband"
庙宇,miàoyǔ,temple
稽查,jīchá,check (to prevent smuggling/etc.)
撒,sā,"drop, throw off all restraint, strow, shower, spill, release, spread, sprinkle, let oneself go, asperse, cast, let out, bestrewn, dredge, sow, scatter, bescatter, let go"
不休,bùxiū,"endlessly, ceaselessly"
化成,huàchéng,"become, resolve, change to"
化,huà,"change, transform, convert"
正常化,zhēngchánghuà,normalize
奶,nǎi,"breasts, milk"
山路,shānlù,"nek, pass, mountain road, mountain trail, ghaut, ghat"
正规,zhèngguī,"regular, standard"
正常化,zhēngchánghuà,normalize
生态系,shēngtàixì,ecosystem
主演,zhǔyǎn,act leading role (in play/film)
紧接着,jǐnjiēzhe5,follow close behind
上天,shàngtiān,"Heaven, heaven, God, Providence"
房舍,fángshè,house
奔波,bēnbō,"rush about, be busy running about"
西藏,xīzàng,Tibet
名家,míngjiā,"virtuoso, a person of academic or artistic distinction, artistic distinction, person of academic, virtuosi, person of academic/artistic distinction, famous expert, master, person of academic distinction, School of Logicians, person of artistic distinction"
告别,gàobié,"valedictory, take_leave, part from, leave, parting, say good-bye to, bid farewell to"
自费,zìfèi,"at one's own expense, be at one's own expense"
同等,tóngděng,"coequal, status, of same rank/status, on an equal footing, on an equal basis, of same class/rank/status, of same class, rank"
病友,bìngyǒu,wardmate
直销,zhíxiāo,sell by manufacturer
附属,fùshǔ,"adjunct, belong, pertain, appertain, affiliated, be attached, attached, adjective, auxiliary, be affiliated, subsidiary"
奔波,bēnbō,"rush about, be busy running about"
查出,cháchū,"find, look_up, smell, investigate, find_out, find out, smoke_out, detect, track_down, smoke out, examine"
流于,liúyú,become
空调,kōngtiáo,"air conditioner, air-conditioning, air-conditioner"
花费,huāfèi,"expenditure, expenses"
省主席,shěngzhǔxí,governor of a province
苦恼,kǔnǎo,"vexed, worried"
拉回,lāhuí,pull back
石器,shíqì,"eolith, stone artifact, stone vessel, artifact, stone implement/artifact, stone implement, stoneware"
延后,yánhòu,"postpone, delay"
陶冶,táoyě,mold/shape character/taste/etc.
奔,bēn,"hurry, rush, be getting on for, head for, flee, run, run quickly, approach, hasten, be getting close to, go straight towards"
缺席,quēxí,be absent (from meeting/etc.)
自豪,zìháo,"pride, pride oneself on"
安养,ānyǎng,"live out life in retirement, provide for the aged"
百分比,bǎifēnbǐ,"percent, per centum, pct, percentage, percent(age)"
助力,zhùlì,"ministry, aid, helping hand, assistance, help, instrumentality"
如是,rúshì,in this way
年初,niánchū,beginning of year
名将,míngjiàng,"famous general, great soldier"
西式,xīshì,"Western, Western style"
良多,liángduō,"very much, numerous"
交通局,jiāotōngjú,Traffic Bureau
使命感,shǐmìnggǎn,mission
注入,zhùrù,"inject, mainline, infuse, teem, impregnate, inflood, implant, pump, pour, funnel, pour into, inspire, pour/empty into, influx, empty into, breathe, empty, immit"
合力,hélì,make concerted efforts
自觉,zìjué,self-awareness/consciousness
白宫,báigōng,White House
陶冶,táoyě,mold/shape character/taste/etc.
疏离,shūlí,estranged
逛街,jiē,"stroll around the street, window-shop"
核,hé,"pit, nuclear, nucleus, nut, sth. resembling a fruit stone, stone, core, nucleolus, hilum, kernel"
草坪,cǎopíng,lawn
航行,hángxíng,"sail, fly"
深切,shēnqiè,"heartfelt, deep, profound"
紮实,zāshí,"sturdy, strong, solid, sound"
偏,piān,be partial to
康熙,kāngxī,"period of emperor Shengzu, K'ang-hsi, period (1662-1723) of emperor Shengzu"
探险,tànxiǎn,"explore, adventure"
讶异,yàyì,be surprised at
妇运,fùyùn,campaign for woman's rights
猜测,cāicè,"guess, surmise"
动辄,dòngzhé,"always, at every turn, frequently, often, easily"
缺席,quēxí,be absent (from meeting/etc.)
看出来,kànchūlái,find out
安养,ānyǎng,"live out life in retirement, provide for the aged"
深山,shēnshān,"romote mountain, remote mountains"
背部,bèibù,"rear, back"
胸部,xiōngbù,"chest, breast, thorax"
急忙,jímáng,"in haste, hurriedly"
明月,míngyuè,"bright moon, legendary luminous pearl"
胡琴,húqín,two-string bowed instruments
顶,dǐng,m.[general]
射箭,shèjiàn,"shoot an arrow, shoot, shoot arrow"
汹湧,xiōngyǒng,"boil, tempestuous, jaw, seethe, tide, billow, popple, turbulent, surge, welter"
射击,shèjí,"shoot, fire"
常务,chángwù,"executive, standing"
高耸,gāosǒng,"stand tall and erect, tower"
叛乱,pànluàn,"mutiny, revolt"
盒子,hézi5,"box, case, casket"
抵制,dǐzhì,boycott
神父,shénfù,"Church Father, father, pastor, soutane, Pere, Padre, padre, Abba, priest, divine, anba, abbe, Father"
疏离,shūlí,estranged
航权,hángquán,air rights
叛乱,pànluàn,"mutiny, revolt"
抵制,dǐzhì,boycott
爱惜,àixí,"cherish, treasure"
预期,yūqí,expectation
预售,yūshòu,sell in advance
堕落,duòluò,"degenerate, sink low"
察觉,chájué,"realize, be aware"
堕落,duòluò,"degenerate, sink low"
睁,zhēng,"open, open (the eyes)"
轮廓,lúnkuò,"outline, contour, rough sketch"
战术,zhànshù,"tactical, war, tactics, military tactics, tactic, swordcraft"
轮到,lúndào,"it will be sb's turn, go, be sb.'s turn to do sth., move"
管理局,guǎnlǐjú,"management, administration, conservancy, management (office)"
机缘,jīyuán,"circumstance, lucky chance, good luck, chance"
称得上,chēngde5shàng,"nominate, can be rated as..."
磨,mó,"grind, mill, turn round/about"
画出,huàchū,paint
台南市,táinánshì,Tainan
说明书,shuōmíngshū,"(technical) manual, (book of) directions, synopsis (of play/etc.)"
极限,jíxiàn,"breaking point, level best, utmost, limit/maximum, maximum, bounds, extreme, limitation, outside, boundary, uttermost, breaking_point, extremity, upper limit, limit"
水晶,shuǐjīng,"quartz, rock crystal, rock_crystal, rhinestone, crystal, pebble"
图书室,túshūshì,"bibliotheca, morgue, library, reading room"
旋转,xuánzhuǎn,"revolve, gyrate, spin"
插入,chārù,insert
勘查,kānchá,"reconnoiter, prospect"
无异,wúyì,"just like, same as"
惹,rě,provoke
跟踪,gēnzōng,track
抢购,qiǎnggòu,rush to purchase
紫外线,zǐwàixiàn,"sunray, ultraviolet radiation, ultraviolet light, ultraviolet illumination, UV, ultraviolet, ultraviolet ray"
饮用,yǐnyòng,drink
无助,wúzhù,"unassisted, helpless"
朝野,cháoyě,"court and commonality, government and public, governing party and opposition"
诚如,chéngrú,"like, as"
过分,guòfèn,"excessively, over-"
喉咙,hóulóng,throat
跟踪,gēnzōng,track
水流,shuǐliú,"water, stream, streams, waters, rivers, current, river, flow"
仙,xiān,"immortal, fairy, celestial being"
必备,bìbèi,"necessary, essential, indispensable, fundamental"
切断,qiēduàn,"sever, shut_off, amputate, disconnect, cut_off, joint, cut off, mutilate, cutting_off, lop, hang_up, interrupt, hang up, guillotine"
回溯,huísù,"dwell, look back upon, harp, turn back, cut back, backdate, trace, flash_back, recall, retroject, retrace, backtrack, double back, flash back"
本钱,běnqián,"principal, capital"
一天到晚,yītiāndàowǎn,all day long
手势,shǒushì,"sign, pantomime, gesticulation, motion, sign_language, gesture, signal"
少量,shǎoliàng,"dribblet, morsel, modicum, scattering, a few, whit, inch, small, daub, det.: a few, slug, element, dash, haet, dearth, fleabite, sprinkle, little, shred, smidgen, soupcon, a little/few, bit, suspicion, mouthful, tot, littleness, trifle, snack, small quantity, spot, few, groat, paucity, nibble, smattering, small amount, ounce, rag, lick, spatter, tad, skerrick, pennyworth, small amount/quanti"
大臣,dàchén,"courtier, court, secretary, referendary, vizier, government minister, viziership, high officials, cabinet ministers, president, chancellor, minister"
兰花,lánhuā,"cymbidium, orchid"
绘制,huìzhì,plot
断层,duàncéng,fault
摆设,bǎishè,furnish and decorate (room)
点子,diǎnzi5,"drop (of liquid), drop, idea, hint, dot, beat (of percussion instruments), beat, spot, key point, speck, pointer"
勘查,kānchá,"reconnoiter, prospect"
担负,dānfù,"bear, shoulder, take on, be charged with"
再一次,zàiyīcì,"once again, over again, again, once_again, once more"
全心,quánxīn,wholeheartedly
标示,biāoshì,label
一齐,yīqí,"simul, in unison, together, simultaneously"
大抵,dàdǐ,"generally speaking, in the main"
下方,xiàfāng,"lower part, downward, this world, downwards"
在在,zàizài,"everywhere, in all aspects"
考卷,kǎojuàn,examination paper
文明,wénmíng,civilized
不约而同,bùyuēértóng,"happen to coincide, coincidentally do sth."
办事,bànshì,"dispose, handle affairs, work"
分别,fēnbié,difference
山坡地,shānpōdì,hillside/sloping land
火力,huǒlì,firepower
市银,shìyín,City Bank
不住,búzhù,endlessly
打仗,dǎzhàng,"fight battle, outplay, war, make war, fight, wage war, battle, go to war"
可恶,kěwù,"hateful, abominable"
心爱,xīnài,"love, treasure"
美容,měiróng,improve looks
面目,miànmù,"honour, countenance, aspect, face, facial_expression, sense of shame, look, appearance, visage, self-respect, features, honor"
到时,dàoshí,"at appointed time, on the occasion"
宫殿,gōngdiàn,"palatium, dome, alcazar, palace"
查报,chábào,check and report
兼差,jiānchāi,"moonlighting, hold two or more posts concurrently, side job"
美洲,měizhōu,"Columbia, American, (continental) America, the Americas, America"
有鑑于此,yǒujiànyūcǐ,"therefore, consequently"
拜会,bàihuì,pay sb. a visit
有形,yǒuxíng,"tangible, visible"
明定,míngdìng,"stipulate, formulate"
突发,túfā,burst out or occur suddenly
查报,chábào,check and report
若非,ruòfēi,conj.: if not for
美容,měiróng,improve looks
某某,mǒumǒu,a certain person
版画,bǎnhuà,"print making, graphic_art, engraving, graphic art, print, woodcut, zincograph, etching, block print"
查缉,cháqì,investigate and seize
老板娘,lǎobǎnniáng,"missis, missus, shopkeeper's wife, proprietress"
预,yū,"in advance, beforehand"
名人,míngrén,"notability, luminary, celebrity, don, celeb, hotshot, lion, famous person, eminent peron, anybody, name, adept, star, figure, man of mark, proficient, performer, personality, social lion, nob, famous peron, guiding light, article, eminent person, boss, famous/eminent person, famous, toff, leading light, notable, swell, personage"
放开,fàngkāi,"set free, release, unhand, let go of, unclinch, unclasp, have a free hand in doing sth., unstop, unloose, slip, let go"
名列,míngliè,be listed/placed
安理会,ānlǐhuì,"Security Council, (U.N.) Security Council"
成见,chéngjiàn,"preconceived notion, preconceived opinion, preconception, prejudice, bias, parti pris, prepossession, preconceived idea"
底片,dǐpiàn,"negative, photographic plate"
合资,hézī,"joint venture, collect money, pool capital, raise funds, enter into partnership"
回升,huíshēng,"rise again (after a fall), pick up"
形容词,xíngróngcí,"attribute, descriptive adjective, adjective, agreement, adverb, qualifying adjective, adjectival, attributive, epithet"
州立,zhōulì,"state, state-established"
序列,xùliè,"alignment, order, sequence, sequence-class, array, consecution"
走近,zǒujìn,approach
免不了,miǎnbùliǎo,unavoidably
扛,kāng,"carry on the shoulder, carry on shoulder, carry together, lift with both hands, shoulder"
尖,jiān,"sharp-pointed, piercing, cuspidal, shrill, sharp"
身分证,shēnfènzhèng,"ID, identity_card, I.D., identification card, identity"
租用,zūyòng,rent (for use)
殷切,yīnqiè,"ardent, eager"
纯真,chúnzhēn,"pure, sincere"
统一,tǒngyī,UNI-PRESIDENT ENTERPRISES CORP
偶然,ǒurán,"accidentally, occasionally"
时,shí,m.[standard]
狭义,xiáyì,narrow sense
扇,shàn,m.[general]
甜蜜,tiánmì,"sweet, happy"
采访,cǎifǎng,interview
租用,zūyòng,rent (for use)
祖父,zǔfù,"grandad, gramps, grandfather, grandsire, (paternal) grandfather, granddad, grandpa, granddaddy"
掌控,zhǎngkòng,control
迷你,mínǐ,mini
查缉,cháqì,investigate and seize
冷战,lěngzhàn,cold war
甜蜜,tiánmì,"sweet, happy"
泉州,quánzhōu,"Chuanchow, Chuanzhou"
洋溢,yángyì,"reek, brim with, be permeated with, overflow"
寄给,jìgěi,send to
杭州,hángzhōu,"Hangchow, Hangzhou, Hangzhou (capital of Zhejiang)"
第一线,dìyīxiàn,"forefront, front/first line"
真心,zhēnxīn,"sincere, genuine, true"
为难,wéinán,"disoblige, feel awkward, make things difficult for, create difficulties, feel embarrassed, embarrass, create difficulties (for sb.), be in a quandary, snarl, torment, bewilder, ride, bewildering"
风采,fēngcǎi,"carriage, graceful bearing, colour, mien, elegant demeanour, literary grace, elegant demeanor"
套,tào,"encase, overlap, interlink, harness, hitch up, model on/after, copy, pump sb. about sth."
甚多,shènduō,"many, much"
排行,páiháng,seniority among siblings
前瞻性,qiánzhānxìng,forward looking
旋转,xuánzhuǎn,"revolve, gyrate, spin"
珊瑚,shānhú,"red coral, precious coral, coralline, coral"
政见,zhèngjiàn,"politics, political sympathies, political view"
拜会,bàihuì,pay sb. a visit
放过,fàngguò,"let off, let slip, forgive, let off/slip, slip"
炫耀,xuànyào,"show_off, prank, flourish, boast, show off, strut, sport, splurge, swank, flaunt, make a display of, feature, brandish, flash"
团长,tuánzhǎng,"head of delegation, regimental commander, head of troupe/etc., chief of a delegation, head of a troupe, troupe, head of delegation/troupe/etc., chairman of a delegation, chief of a troupe, colonel, head of a delegation, etc."
遥测,yáocè,telemeter
确切,quèqiè,"correct, accurate, clear and unambiguous, precise, exact, definite, tangible"
调查员,diàocháyuán,"surveyor, agent, investigator, federal agent"
调降,tiáojiàng,lower (price/volume/etc.)
论述,lùnshù,exposition and argumentation
遣返,qiǎnfǎn,repatriate
弹琴,tánqín,"play stringed instrument, pluck, play, play keyboard instrument, play stringed, keyboard instrument"
殴打,ōudǎ,"beat up, come to blows"
踏实,tàshí,"dependable, at ease, solid"
钢筋,gāngjīn,steel reinforcing bar
电路,diànlù,(electric) circuit
敷衍,fūyǎn,"elaborate, fudge, treat sb. lightly, treat sb. lightly/flippantly, treat sb. flippantly, expound, perfunctory, flippantly, elaboration, go through the motions, be perfunctory, irresponsible, skimp along, skimp along (in a task)"
福尔摩沙,fúěrmóshā,Formosa
遣返,qiǎnfǎn,repatriate
拥,yǒng,"embrace, hold"
说词,shuōcí,excuse
提报,tíbào,report
电器,diànqì,electrical equipment/appliance
解答,jiědá,"answer, explain"
艺廊,yìláng,art gallery
暴涨,bàozhǎng,rise suddenly and sharply (of floods/prices/etc.)
爱乐,àiyuè,philharmonic
溪水,xīshuǐ,"rivulet, mountain stream"
躲避,duǒbì,"hide (oneself), elude, dodge"
傻,shǎ,"stupid, muddleheaded, stunned, silly"
抢救,qiǎngjiù,rush to save
落伍,luòwǔ,"straggle, drop out, be outdated"
过日子,guòrìzi5,"live, get along, practice economy"
黄河,huánghé,Yellow River
声望,shēngwàng,"mana, celebrity, character, prestige, odour, repute, fame, name, prestigiousness, caste, renown, reputation, popularity"
尊,zūn,m.[general]
催眠,cuīmián,"lull, hypnotize, mesmerize, hypnotic, lull (to sleep)"
笔触,bǐchù,"brush stroke in Ch. painting and calligraphy, brushwork, style of drawing/writing"
落伍,luòwǔ,"straggle, drop out, be outdated"
抢救,qiǎngjiù,rush to save
厨师,chúshī,"cook, chef"
殴打,ōudǎ,"beat up, come to blows"
庆幸,qìngxìng,rejoice at a good outcome
款项,kuǎnxiàng,"a sum of money, fund"
引诱,yǐnyòu,"lure, seduce"
刀,dāo,m.[standard]
山羊,shānyáng,goat
子宫,zǐgōng,"venter, womb, belly, wame, uterus, uterine, matrix"
用人,yòngrén,"make use of personnel, employ people"
上岸,shàngàn,"set ashore, set down, go ashore, shore, debark, disembark, land"
公克,gōngkè,m.[standard]
引诱,yǐnyòu,"lure, seduce"
才艺,cáiyì,"accomplishment, talent and skill, perfection, acquire"
不便,búbiàn,"inconveniently, inappropriately"
水墨画,shuǐmòhuà,"wash painting, wash_drawing, ink and wash"
反对党,fǎnduìdǎng,"enemy, opponent, opposition, opposition party, the Opposition, foeman, the opposition, foe"
生产线,shēngchǎnxiàn,"assembly line, line, production line, production_line, assemble line"
地质,dìzhí,geology
渡,dù,"cross (river/sea/etc.), tide over, ferry across"
继而,jìér,"then, afterwards"
触角,chùjiǎo,"antenna, feeler"
关岛,guāndǎo,Guam
读到,dúdào,read
礼品,lǐpǐn,"present, beneficence, gift"
中文系,zhōngwénxì,Chinese Literature Department
犯错,fàncuò,"make mistake, err"
刘邦,liúbāng,"founder of Han Dynasty, reigned as Gaozu"
获悉,huòxī,"have, understand, get_onto, learn, learn (of an event)"
获准,huòzhǔn,"get_into, obtain permission"
获益,huòyì,"be benefited, obtain profit, profit by, benefit, do good, benefit from"
遥测,yáocè,telemeter
外套,wàitào,"stragulum, overclothes, outerwear, pall, surcoat, overcoat, loose coat, greatcoat, manta, outer garment, topcoat, coat, bolero, lagging, benny"
二胡,èrhú,alto fiddle
用处,yòngchù,"use, value, practical application, function, purpose, point, usefulness, mileage, role"
十二指肠,shíèrzhǐcháng,duodenum
上当,shàngdàng,"be duped, be taken in, get_stuck, be fooled, be tricked"
暴涨,bàozhǎng,rise suddenly and sharply (of floods/prices/etc.)
牛郎,nióuláng,"cowpuncher, cowboy, broncobuster, the cowherd in the legend ""the Cowherd and Girl We, legendary Cowherd"
刊出,kānchū,publish
共通,gòngtōng,"all, applicable to all, applicable to both, applicable to both/all"
用具,yòngjù,"kit, thing, fixing, tool, apparatus, appliance, instrument, outfitting, fitting, tackle, implement, utensil, outfit"
失调,shītiáo,"lose balance, dislocate"
左右,zuǒyòu,"master, control, influence"
比喻,bǐyū,"metaphor, analogy"
犯错,fàncuò,"make mistake, err"
倒楣,dǎoméi,"be out of luck, be unlucky"
争吵,zhēngchǎo,"quarrel, wrangle"
孤儿,gūér,orphan
并发症,bìngfāzhèng,syndrome
印制,yìnzhì,"character, print"
吃到,chīdào,"taste, eat"
求职,qiúzhí,seek for job
海鲜,hǎixiān,seafood
降落,jiàngluò,"descend, land, drop (in water level, etc.)"
求职,qiúzhí,seek for job
波及,bōjí,"affect, spread to"
收,shōu,"collect, gather"
科学院,kēxuéyuàn,"Chinese Academy of Sciences, Academy of Science, academy of sciences"
信箱,xìnxiāng,"post-office box, mailbox, letter_box, letter box, postbox, box"
降落,jiàngluò,"descend, land, drop (in water level, etc.)"
室友,shìyǒu,"housemate, chum, roommate, chummy, roomie"
招募,zhāomù,"recruit, enlist"
保密,bǎomì,"maintain secrecy, hide, conceal, keep sth. secret, keep secret, hold_back"
版面,bǎnmiàn,"typeface, layout/makeup of printed sheet, layout, page, layout of printed sheet, makeup of printed sheet, space of a whole page"
秉持,bǐngchí,hold (a conviction/attitude)
皇室,huángshì,"imperial family/house, royalty, imperial house, royal_family, imperial family, royal house, royal line, house, royal family"
受骗,shòupiàn,"be taken in, be fooled, be cheated, be deceived, bite"
属下,shǔxià,subordinate
刑事,xíngshì,"criminal, penal"
居家,jūjiā,be at home
阳,yáng,"positive/active/male principle in nature, sun, south of a hill, north of a river, male genitals"
良知,liángzhī,"sense of right and wrong, innate knowledge, intuitive knowledge, conscience, understanding friend, moral consciousness, moral sense, scruples"
成名,chéngmíng,"become famous, make name for oneself"
划船,huáchuán,paddle/row boat
成名,chéngmíng,"become famous, make name for oneself"
困惑,kùnhuò,"perplexed, puzzled"
灰,huī,"ash, dust"
有情,yǒuqíng,"warm, affectionate, endowed with feeling/sentience"
肝病,gānbìng,"liverish, liver disease"
吃饱,chībǎo,eat one's fill
伴侣,bànlǔ,"companion, mate, helpmate, coachfellow, familiar, partner, fere, company"
地处,dìchǔ,be situated/located
困惑,kùnhuò,"perplexed, puzzled"
光电,guāngdiàn,photoelectricity
划船,huáchuán,paddle/row boat
企图,qìtú,attempt
杜鹃,dùjuān,cuckoo
高昂,gāoáng,"held high (head/etc.), high, elated, exalted"
鬼神,guǐshén,supernatural beings
讨,tǎo,"demand, dun, marry (a woman)"
愉悦,yūyuè,"cheerful, delighted"
清楚,qīngchǔ,understand clearly
国宝,guóbǎo,national treasure
消逝,xiāoshì,"die/fade away, vanish, elapse"
逃走,táozǒu,"run away, flee"
高空,gāokōng,"high altitude, upper air"
这样一来,zhèyàngyīlái,thus
趁着,chènzhe5,while
密,mì,"dense, thick, intimate, close"
梅花,méihuā,"plum blossom, clubs (on playing cards), wintersweet"
软片,ruǎnpiàn,film (in a roll)
乾乾淨淨,gāngānjìngjìng,"clean, neat and tidy"
运送,yùnsòng,"transport, convey"
眉毛,méimáo,"eyebrow, brow"
帛琉,bóliú,Palau
专柜,zhuānguì,shoppe
迫不及待,pòbùjídài,too impatient to wait
俱,jù,"all, everyone"
跑道,pǎodào,"track, lane, starting-rail, runway, course, chicane, tract, racetrack, racecourse, raceway"
专程,zhuānchéng,special trip
招募,zhāomù,"recruit, enlist"
唇,chún,lip
花儿,huāér,"flower, NW China festival folk songs, flowers"
争吵,zhēngchǎo,"quarrel, wrangle"
波及,bōjí,"affect, spread to"
美味,měiwèi,"delicious, dainty"
为限,wéixiàn,"be within the limit of, as limit"
责任感,zérèngǎn,sense of responsibility/duty
愉悦,yūyuè,"cheerful, delighted"
纺织,fǎngzhī,"spinning and weaving, textile"
淡水河,dànshuǐhé,Tamsui River
衰,shuāi,"decline, wane"
脱颖而出,tuōyǐngérchū,"stand out, leap out, come to the fore, jump out, jump, show itself"
晒,shài,"air, cold-shoulder, soak up sun, sun-dry, shine on, sun upturned soil"
扫描器,sǎomiáoqì,scanner
捷克,jiékè,Czechoslovakia
纺织,fǎngzhī,"spinning and weaving, textile"
掩饰,yǎnshì,"cover up, gloss over"
满满,mǎnmǎn,filled to capacity
机组,jīzǔ,"crew, flight crew, set, unit"
迟到,chídào,"tardy, be late, arrive late, be/come/arrive late, come, late, come/arrive late, be"
缔造,dìzào,"found, create"
谋求,móuqiú,"go for, be in quest of, seek to gain, strive for, endeavor, try for, seek"
操纵,cāozòng,"operate, control, rig, manipulate"
幕,mù,"curtain, screen, tent"
嘴唇,zuǐchún,"lip, lips, kisser"
赌,dǔ,"gamble, bet"
压低,yādī,"weight down, lower (voice/etc.)"
盘子,pánzi5,"plate, pan, salver, bowl, dish, tray"
实况,shíkuàng,actual situation/happening
歌星,gēxīng,singing star
数值,shùzhí,"numerical value, amount, number"
意图,yìtú,intent
导盲犬,dǎomángquǎn,guide dog
裤子,kùzi5,"breeches, pant, unmentionables, britches, trouser, continuation, breeks, bags, unmentionable, inexpressible, pants, pantaloon, trousers"
学运,xuéyùn,student movement
感伤,gǎnshāng,"be sad, be sentimental"
装修,zhuāngxiū,"repair, renovate (house/etc.), decorate, renovate (house, etc.), renovate, furnish, renovation, fit up"
反共,fǎngòng,"anti-communist, anticommunism"
水域,shuǐyū,"water, waters, water area, body of water"
复健,fùjiàn,rehabilitate
传入,chuánrù,import
董监事,dǒngjiānshì,director and member of supervisory board
新庄,xīnzhuāng,Hsin Chuang
感伤,gǎnshāng,"be sad, be sentimental"
意味,yìwèi,"meaning, significance, implication, interest, overtone, flavor"
奖品,jiǎngpǐn,"accolade, gainings, trophy, award, prize, prix, gree"
精品,jīngpǐn,"plum, showpiece, fine work, quality goods, top quality article, article of fine quality"
废物,fèiwù,"crap, plug, wastage, dreg, crock, garbage, weed, riffraff, obsolete, ejecta, trashery, rubbish, trash, cur, chaff, offal, food waste, recrement, rejectamenta, waste matter, lumber, sullage, write-off, waste material, sordes, dud, good-for-nothing, black sheep, culch, ruck, wastefulness, slag, scapegrace, dissipation, cultch, raffle, flotsam, dreck, off-scum, no-account, waste, offscouring"
截,jié,m.[proximation]
德国人,déguórén,German
预赛,yūsài,preliminary contest
缔造,dìzào,"found, create"
疗效,liáoxiào,curative effect
嫌疑,xiányí,"cloud, suspicion"
声浪,shēnglàng,clamor
巨星,jùxīng,"giant, giant star, superstar"
生计,shēngjì,"livelihood, keep, gelt, means of livelihood, bread and butter, maintenance, life, shekels, subsistence, support, lucre, dinero, dough, bread, moolah, cabbage, kale, pelf, loot, sustenance, living"
申办,shēnbàn,apply for
体坛,tǐtán,sports circles
宝岛,bǎodǎo,"treasured island, Taiwan"
礼服,lǐfú,"ceremonial robe, plumage, trappings, ceremonial dress, tux, robe, full_dress, black tie, full dress, gown, ceremonial robe or dress, dress, ball gown, dinner jacket, vestment, ceremonial robe/dress, formal attire, tuxedo, full-dress"
归来,guīlái,"come back, be back, return, go back to"
必要性,bìyàoxìng,"essentialness, essentiality, necessity"
扩建,kuòjiàn,extend (factory/mine/etc.)
不幸,búxìng,misfortune
续集,xùjí,"continuation (of a book), sequel"
猎物,lièwù,"bag, game, quarry, venery, prey"
转机,zhuǎnjī,turn for better
籤,qiān,lot
摄影师,shèyǐngshī,"photographer, cameraman"
罗浮宫,luófúgōng,Louvre_Museum
开战,kāizhàn,"make war, battle against"
罐头,guàntóu,"tin, can, canned goods"
生平,shēngpíng,"life, all one's life, all one's life (of deceased)"
